> print(ans_data)
     answers         freq
1      aback 8.098061e-06
2      abase 7.699105e-07
3      abate 1.415874e-05
4      abbey 5.549757e-05
5      abbot 3.040095e-05
6      abhor 3.462254e-06
7      abide 3.717440e-05
8      abled 1.085668e-06
9      abode 1.998362e-05
10     abort 1.261808e-05
11     about 1.085973e-02
12     above 2.735538e-03
13     abuse 6.403603e-04
14     abyss 1.717719e-05
15     acorn 1.076031e-05
16     acrid 4.346914e-06
17     actor 1.463483e-04
18     acute 3.576308e-04
19     adage 7.780085e-06
20     adapt 9.579564e-05
21     adept 2.038542e-05
22     admin 6.799967e-05
23     admit 1.671455e-04
24     adobe 2.986698e-05
25     adopt 2.738823e-04
26     adore 8.211812e-06
27     adorn 7.802554e-06
28     adult 6.333550e-04
29     affix 1.038629e-05
30     afire 3.219565e-06
31     afoot 6.216003e-06
32     afoul 4.973193e-06
33     after 7.956066e-03
34     again 2.358876e-03
35     agape 6.275964e-06
36     agate 7.529156e-06
37     agent 7.473553e-04
38     agile 1.034420e-05
39     aging 2.266221e-04
40     aglow 2.246731e-06
41     agony 3.114034e-05
42     agora 5.957468e-06
43     agree 5.665071e-04
44     ahead 3.695509e-04
45     aider 2.123694e-06
46     aisle 3.208659e-05
47     alarm 1.093812e-04
48     album 7.704687e-05
49     alert 1.114256e-04
50     algae 6.011357e-05
51     alibi 1.132539e-05
52     alien 1.735410e-04
53     align 3.125815e-05
54     alike 1.181786e-04
55     alive 2.233136e-04
56     allay 7.745278e-06
57     alley 4.362892e-05
58     allot 6.015554e-06
59     allow 1.065323e-03
60     alloy 1.371056e-04
61     aloft 1.208322e-05
62     alone 9.155357e-04
63     along 1.966059e-03
64     aloof 1.341686e-05
65     aloud 5.546187e-05
66     alpha 1.593852e-04
67     altar 7.125002e-05
68     alter 1.955433e-04
69     amass 4.360508e-06
70     amaze 3.482329e-06
71     amber 3.441136e-05
72     amble 1.534982e-06
73     amend 2.566821e-04
74     amiss 6.810762e-06
75     amity 7.389475e-06
76     among 2.954906e-03
77     ample 7.756366e-05
78     amply 1.755225e-05
79     amuse 9.013928e-06
80     angel 1.168544e-04
81     anger 2.060761e-04
82     angle 4.328963e-04
83     angry 1.662808e-04
84     angst 6.186212e-06
85     anime 1.014566e-06
86     ankle 4.356366e-05
87     annex 1.358401e-04
88     annoy 6.412444e-06
89     annul 7.379423e-06
90     anode 3.242432e-05
91     antic 2.265909e-06
92     anvil 1.123888e-05
93     aorta 2.654380e-05
94     apart 4.585562e-04
95     aphid 1.380285e-05
96     aping 1.255682e-06
97     apnea 1.406584e-05
98     apple 1.785166e-04
99     apply 1.102420e-03
100    apron 2.204229e-05
101    aptly 1.950802e-05
102    arbor 8.895216e-05
103    ardor 4.991969e-06
104    arena 1.044276e-04
105    argue 3.056396e-04
106    arise 2.801727e-04
107    armor 4.241002e-05
108    aroma 1.840719e-05
109    arose 1.277181e-04
110    array 2.940440e-04
111    arrow 1.216008e-04
112    arson 2.323593e-05
113    artsy 9.025750e-07
114    ascot 3.677062e-06
115    ashen 3.469336e-06
116    aside 3.238410e-04
117    askew 5.903087e-06
118    assay 1.169282e-04
119    asset 2.941781e-04
120    atoll 1.289815e-05
121    atone 4.698472e-06
122    attic 3.167166e-05
123    audio 1.982376e-04
124    audit 2.875273e-04
125    augur 3.047849e-06
126    aunty 2.884693e-06
127    avail 9.011548e-05
128    avert 1.658084e-05
129    avian 2.535992e-05
130    avoid 7.241186e-04
131    await 3.458482e-05
132    awake 5.721818e-05
133    award 7.665679e-04
134    aware 5.426498e-04
135    awash 6.075439e-06
136    awful 6.335543e-05
137    awoke 1.729262e-05
138    axial 1.185219e-04
139    axiom 2.185948e-05
140    axion 1.676210e-06
141    azure 6.089958e-06
142    bacon 7.988236e-05
143    badge 2.500114e-05
144    badly 1.151507e-04
145    bagel 3.830053e-06
146    baggy 5.349766e-06
147    baker 2.062219e-04
148    baler 2.368930e-06
149    balmy 3.210961e-06
150    banal 9.263560e-06
151    banjo 8.172818e-06
152    barge 3.601729e-05
153    baron 5.728594e-05
154    basal 1.217745e-04
155    basic 1.510830e-03
156    basil 5.220224e-05
157    basin 3.845212e-04
158    basis 2.109781e-03
159    baste 2.727693e-06
160    batch 9.499661e-05
161    bathe 1.283713e-05
162    baton 4.725775e-05
163    batty 2.416532e-06
164    bawdy 4.446829e-06
165    bayou 1.542661e-05
166    beach 4.327388e-04
167    beady 1.636296e-06
168    beard 5.557269e-05
169    beast 5.436545e-05
170    beech 2.432035e-05
171    beefy 2.144913e-06
172    befit 9.410108e-07
173    began 1.348608e-03
174    begat 2.096059e-06
175    beget 3.963714e-06
176    begin 7.218946e-04
177    begun 2.890665e-04
178    being 5.219206e-03
179    belch 1.862411e-06
180    belie 3.910556e-06
181    belle 3.930086e-05
182    belly 5.554806e-05
183    below 1.636208e-03
184    bench 1.163486e-04
185    beret 3.630259e-06
186    berry 7.373959e-05
187    berth 1.783034e-05
188    beset 1.632549e-05
189    betel 5.616250e-06
190    bevel 7.929139e-06
191    bezel 1.713211e-06
192    bible 2.643658e-04
193    bicep 7.764234e-07
194    biddy 2.736952e-06
195    bigot 2.499038e-06
196    bilge 4.519167e-06
197    billy 9.268530e-05
198    binge 1.007379e-05
199    bingo 1.633567e-05
200    biome 3.434536e-06
201    birch 4.293463e-05
202    birth 5.855374e-04
203    bison 2.113582e-05
204    bitty 1.311319e-06
205    black 1.969547e-03
206    blade 1.252007e-04
207    blame 1.246775e-04
208    bland 2.373696e-05
209    blank 1.511080e-04
210    blare 1.452049e-06
211    blast 7.080444e-05
212    blaze 1.691889e-05
213    bleak 2.620995e-05
214    bleat 9.573670e-07
215    bleed 2.518495e-05
216    bleep 1.442920e-06
217    blend 8.105453e-05
218    bless 4.044817e-05
219    blimp 1.782718e-06
220    blind 2.367976e-04
221    blink 1.194995e-05
222    bliss 4.056981e-05
223    blitz 7.854633e-06
224    bloat 1.884978e-06
225    block 6.741002e-04
226    bloke 3.578378e-06
227    blond 3.193922e-05
228    blood 1.207571e-03
229    bloom 7.986717e-05
230    blown 6.404905e-05
231    bluer 1.382607e-06
232    bluff 3.972944e-05
233    blunt 4.475014e-05
234    blurb 2.469505e-06
235    blurt 1.553552e-06
236    blush 1.576584e-05
237    board 2.591666e-03
238    boast 2.316725e-05
239    bobby 5.243513e-05
240    boney 1.292081e-06
241    bongo 3.472897e-06
242    bonus 7.759609e-05
243    booby 4.584513e-06
244    boost 7.660075e-05
245    booth 8.333131e-05
246    booty 9.103529e-06
247    booze 7.127410e-06
248    boozy 6.874931e-07
249    borax 4.717789e-06
250    borne 1.151564e-04
251    bosom 2.027809e-05
252    bossy 3.281133e-06
253    botch 9.030726e-07
254    bough 5.622283e-06
255    boule 2.433358e-06
256    bound 5.040166e-04
257    bowel 5.532418e-05
258    boxer 2.343776e-05
259    brace 4.489970e-05
260    braid 1.367444e-05
261    brain 5.339523e-04
262    brake 7.348767e-05
263    brand 1.908866e-04
264    brash 6.405128e-06
265    brass 9.294245e-05
266    brave 6.984471e-05
267    bravo 1.463352e-05
268    brawl 4.429849e-06
269    brawn 2.262008e-06
270    bread 2.011840e-04
271    break 4.723562e-04
272    breed 7.336976e-05
273    briar 4.679820e-06
274    bribe 1.587906e-05
275    brick 1.182750e-04
276    bride 8.292005e-05
277    brief 5.781111e-04
278    brine 2.612173e-05
279    bring 9.036807e-04
280    brink 2.834662e-05
281    briny 8.661633e-07
282    brisk 1.818972e-05
283    broad 6.105481e-04
284    broil 3.563295e-06
285    broke 2.011477e-04
286    brood 2.266898e-05
287    brook 7.187318e-05
288    broom 1.895428e-05
289    broth 3.060302e-05
290    brown 9.066856e-04
291    brunt 1.265817e-05
292    brush 1.197005e-04
293    brute 1.776738e-05
294    buddy 3.693559e-05
295    budge 1.057882e-05
296    buggy 1.063899e-05
297    bugle 5.776103e-06
298    build 5.530850e-04
299    built 8.379127e-04
300    bulge 1.586821e-05
301    bulky 1.899460e-05
302    bully 1.309126e-05
303    bunch 6.917584e-05
304    bunny 1.244161e-05
305    burly 5.826625e-06
306    burnt 5.264493e-05
307    burst 1.125006e-04
308    bused 1.256375e-06
309    bushy 9.758877e-06
310    butch 1.213511e-05
311    butte 2.338777e-05
312    buxom 1.552567e-06
313    buyer 1.973432e-04
314    bylaw 6.144234e-06
315    cabal 2.864373e-06
316    cabby 7.187482e-07
317    cabin 9.015685e-05
318    cable 4.573115e-04
319    cacao 7.272830e-06
320    cache 7.394083e-05
321    cacti 5.108995e-06
322    caddy 4.771201e-06
323    cadet 1.490304e-05
324    cagey 1.062145e-06
325    cairn 5.575420e-06
326    camel 2.731579e-05
327    cameo 7.405026e-06
328    canal 2.003777e-04
329    candy 5.994422e-05
330    canny 5.055387e-06
331    canoe 3.579837e-05
332    canon 8.713141e-05
333    caper 3.640967e-06
334    caput 3.796503e-06
335    carat 3.369738e-06
336    cargo 1.836668e-04
337    carol 1.308790e-04
338    carry 6.434329e-04
339    carve 1.469896e-05
340    caste 8.719333e-05
341    catch 2.522330e-04
342    cater 2.098460e-05
343    catty 1.173963e-06
344    caulk 2.184275e-06
345    cause 1.546525e-03
346    cavil 1.094539e-06
347    cease 1.217255e-04
348    cedar 7.168773e-05
349    cello 1.724181e-05
350    chafe 3.908997e-06
351    chaff 7.414539e-06
352    chain 4.469828e-04
353    chair 4.854618e-04
354    chalk 4.063288e-05
355    champ 8.528081e-06
356    chant 2.420413e-05
357    chaos 1.062336e-04
358    chard 4.310630e-06
